stp,month,date,season,days,mcp_mm,mean_outflow
Mangueira,December,31/12/2016,dry,31,48,0.02937
Mangueira,January,31/01/2017,dry,31,21,0.02945
Mangueira,February,28/02/2017,dry,28,23,0.03273
Mangueira,March,31/03/2017,wet,31,130,0.04153
Mangueira,April,30/04/2017,wet,30,243,0.04049
Mangueira,May,31/05/2017,wet,31,311,0.04144
Mangueira,June,30/06/2017,wet,30,441,0.04845
Mangueira,July,31/07/2017,wet,31,419,0.04655
Mangueira,August,31/08/2017,wet,31,120,0.0406
Mangueira,September,30/09/2017,dry,30,68,0.03644
Mangueira,October,31/10/2017,dry,31,44,0.03601
Mangueira,November,30/11/2017,dry,30,10,0.03518
Mangueira,December,31/12/2017,dry,31,27,0.03795
Mangueira,January,31/01/2018,dry,31,115,0.04087
Mangueira,February,28/02/2018,dry,28,127,0.03994
Mangueira,March,31/03/2018,wet,31,149,0.04026
Mangueira,April,30/04/2018,wet,30,500,0.06175
Mangueira,May,31/05/2018,wet,31,141,0.05797
Mangueira,June,30/06/2018,wet,30,120,0.05217
Mangueira,July,31/07/2018,wet,31,88,0.04956
Mangueira,August,31/08/2018,wet,31,79,0.05202
Mangueira,September,30/09/2018,dry,30,41,0.05319
Mangueira,October,31/10/2018,dry,31,12,0.05112
Mangueira,November,30/11/2018,dry,30,48,0.05037
Mangueira,December,31/12/2018,dry,31,48,0.05468
Mangueira,January,31/01/2019,dry,31,115,0.05308
Mangueira,February,28/02/2019,dry,28,82,0.04643
Mangueira,March,31/03/2019,wet,31,133,0.04689
Mangueira,April,30/04/2019,wet,30,233,0.05561
Mangueira,May,31/05/2019,wet,31,179,0.05033
Mangueira,June,30/06/2019,wet,30,445,0.0512
